"text","stars"
"This place was awesome for lunch. We shared a Mayfair Special (Haddock) and a Cod with Chips and slaw. The fish was perfect with crispy batter, the chips...","5"
"Absolutely the best Fish and Chips in London. The gravy was to die for and the drinks were done great! Our server was super cool! Blonde kid very nice and...","5"
"Enjoyed all our starters and the traditional fish and chips. No frills, just right. Prompt lovely service.","4"
"Amazing, I was shocked at how delicious this place was for my first meal here. I think just about everything in the menu is a win, so have at it you can't...","5"
"I really hate to say OMG because I'm really too old for that term but really it has to be said. Place is larger than it looks from the outside as it is...","5"
"I'm an American traveling abroad so I decided to have my Thanksgiving dinner here! The menu is very small (only 3 entree options) but I ordered the main...","5"
"If you like Indian food but are wary of the consistently great reviews (and long lines at some of their locations) - come here! The food is worth it!...","5"
"We went to the Covent gardens location. We could not get a reservation but they accepted walk ins. We arrived just as breakfast was ending and lunch was...","4"
"I've wanted to try out Dishoom in Covent Garden for a long time now, as one of the most-reviewed businesses on Yelp in London, this is also the original...","4"
"Went here a while back and am just finally getting to my review. This is hands down the best chicken and waffles i've had in my entire life. I could eat...","5"
"We came to fat bear for dinner and enjoyed the evening. A highlight for me was the excellent service we received from the team there. Food wise, we tried...","4"
"I felt a bit like a genius because I was choosing a place for several friends to meet up and we all wanted different things. I wanted something with at...","5"
"Definativamente me gusta mucho this Michelin three-star restaurant by celebrity chef Gordon Ramsay.  I'm a huge fan of the food and his personality, as well...","5"
"Went here a few years ago. Sad to say I was quite disappointed. Unfortunately our cab driver delivered us to the restaurant 10 minutes after our reservation...","3"
"Expected more, this was my third Gordon Ramsey restaurant experience over the last two years, and similarly to my previous two experiences, I was not...","1"
"The staff at The Queens Arms were amazing tonight. Watching them work hard to serve others was an inspiration. What a team!The food was also wonderful....","5"
"After exploring London all day, I was trying to find a plaace to eat with my mother who was working in London. I found Queens Arms on Yelp and so glad I...","4"
"First time and London and I just had to get the fish and chips. The Queens Arms gave me everything I wanted in a pub in London:Food: So like I mentioned...","4"
"Abeno is a fantastic and fun experiential restaurant serving up Japanese fare outside the typical sushi or ramen. Abeno specializes in okonomi-yaki, which...","5"
