text,stars
"*yawn*  This is the forgettable sort of bar that you wish you hadn't wasted the neurons trying to forget.

The couple times I've been here it was awkwardly empty, and the people who were there were just off.

Awkward bar clientele roll call:
* Old creeper staring from across the bar. (PS: axe murderer or misplaced lust?)
* One excessively drunk single woo girl.
* Excessively drunk single woo girl's 3 ex-frat boy ""friends"" who keep buying her drinks.
* Man eating alone in the booth behind you.
* Guy watching TV alone. Shouts frequently at it.

I'm not a particular fan, so I wouldn't recommend it. There are better suburb bars in the area. For what it's worth, the connected restaurant, Chi Thai, is very good.",2
"Ordered all veggies, because of my clean eating regimen and as I returned to work from my 1hr lunch I discovered that ALL my veggies were literally swimming in OIL & GREASE!!! I was more than pissed, but knew it would be a lost effort to attempt to take anything back. I did in turn call the business and make a complaint. Wont return. #LostCustomer",1
"I used to love this place. I ordered the honey chicken, so chewy it was not edible. Rice was dry and crunchy. It was so bad, I threw it in the trash. Complete waste of money.",2
"When I was at Babson, there was a big controversy about the staff being racist(similar to Diva incident) and harassing my friend and her dinner party(bc they were Asians), and she did something about it- spoke out.

I used to eat here, but never again because I believed her unlike my piece of shit Alma mater who tried to make HER apologize.
Tangent.

Don't support racists.",1
"We ended up at the location in Cambridge, MA just by chance.  It's in a food court like area, hope this is the right location.  

Husband got a lobster roll and a cup of New England chowder.  It's generic lobster probably from Costco, but fine.  Chowder was decent.

Think he told me it was $11 for the roll & chowder.",2
"Back in 2002 I remember having a macaroni pie from this counter in the Garage food court . It was quite good. Since then, they redesigned their menu (and counter). I just recently tried the new Boston Chowda Co., twice, and was quite disappointed.

First, I tried the haddock pie. I'd had a salmon pie elsewhere, which was great, so I had high hopes for this. Until I tasted it. It consists of little haddock pieces in gravy, with cracker crumbs on top. No crust, as there should be. Neither the haddock nor the gravy nor the crumbs were very flavorful. The only upside is that you get a fair amount of food for your $5. But I wouldn't get it again.

Then, I tried a tuna roll. Their rolls (and wraps) on display under glass--shellacked, presumably--look wonderful, absolutely stuffed with meat. But the one they actually served me had much less tuna, some lettuce, and just a few pieces of tomato. Another disappointment.

So I won't be eating at the Chowda Co. again. Not when Harvard Square has much better lunch options (including Felipe's Taqueria right across the room).",2
"completely less-than mediocre. i had a tomato-mozzarella wrap, in which there was far too much chopped lettuce and a complete absence of the pesto mayo sauce - the only hope it had for any flavor. bf's kielbasa from the attached hot dog-sausage-oriented Doghouse was was okay, nothing spectacular. and the ""fresh"" lemonade is from one of those continually-spouting machines and is most certainly not ""fresh.""",1
"This is the first time we ate at Finians under the new management.  It was not a good experience! Let's see, where do I start.  As we walked in, we felt the unwelcome atmosphere.  The waitress started off pretty nice, giving us our beverages.  When she took our orders, she told my boyfriend that the prime rib was sold out for the night, then he decided to order something else and was ALSO told it was sold out.  OK, then she suggested a stuffed pork-- ""it's really good"" she said.  Little did we know, it was gross-- it was dry and hard.  Also, after our third round of ""free refills"" on soda, the waitress took our cups away and never came back! Not to mention, all the food was very salty and we were still eating!! Never again will we go back...",1
"I can't say that I got a warm fuzzy feeling eating at this place. I was driving around Quincy with my friend searching for lunch options today when we passed the Finian's. There was a clearly visible sign boasting great specials for traditional American fare. Time being an issue we quickly decided to eat here and try our luck.

Upon entering the place wasn't that busy. The majority of the crowd appeared to be in their 70's and it was mostly quiet aside from the TVs displayed over the bar. No one was their to great us and I took the initiative to go over to a waitress and ask if we should seat ourselves. With a scowl she informed us that we would be seated in just a moment. When I returned someone was at the host stand and took us to a table, dropped off some menus and the specials list without much to say and left us to our own devices.  The food selection was vast, the prices reasonable and I was content with the choice so far.

As we made our decisions a few things became more noticeable. One was the scent of ""old people"" that permeated the air around us. The second was the lack of smell of food. Another was the shockingly contrasting styles of furniture and colors that reminded me of the movie Fear and Loathing in Las Vegas. Colors clashed with colors, patterns clashed with patterns. None of it inspired me to feel at home and like I wanted to have a good meal. 

The waitress was ok. She handled the formalities of ordering well, but that was the extent of it. Warmth was not her strength nor was attentiveness as we finished our drinks and eagerly awaited mor eto satiate our needs.  

We ate, waited a while to pay our bill, and left without having very much human contact aside from our own. Being that I wasn't greeted nor asked to return again (I didn't even expect that someone would take the time to see how our food was after being there for five minutes) I don't have a warm memory to carry with me. 

Overall the food was pretty average, and what you would expect from a place that reminds you of Denny's or Bickfords without the big chain feel. This isn't fine cuisine although something about that Chicken Parm didn't sit well with my friend. Maybe you'll have better luck.",2
"I've never done the bruch, and it seems like that's the thing to do if you go here. 

Place smells gross, is gross. Food was disgusting and heavy- when I left, i felt like I ate a bowling ball. 2 stars for the super nice waitress.",2
"Dirty booths, gross food, bad service.
trashy!",1
"Seems to me there has been a huge decline in qualtity and service.  Finian's used to be a great place for comfort food and served one of the best Roast Turkey Dinners around.  Last month, I went back for the first time in a while and was shocked to be served lunchmeat over sour tasting stuffing.

And the service was painfully slow -- I was there nearly two hours.  And, the place was virtually empty.

Wouldn't go back again.",1
"Just got back from their Sunday brunch.  Years ago I remember there were tons of people waiting to be seated;  but then, years ago it was worth the wait.  Today's fare was terrible to see and terrible to taste.  We'll not be returning.",1
"Oh please!

This is THE WORST SERVICE EVER!!!!!!!! Not only was the waitress totally obnoxious, she brought the beverages for the two men in the party and all but ignored the female! Even after being corrected, she still had to asked again and when she finally arrived with the cocktail (shortly before dinner arrived!) she was blatantly RUDE! You'd think I was putting her out! Little did she know! 

much It was to my delight, that she tried to hand off the tab to the gentlemen, however, I INSISTED on paying (minus the tip...yes it was THAT BAD!)

Sorry to say this was not our first encounter with elderly bleach blond but most certainly the last! We complained to the owner on more than one occasion to no avail. As if that weren't enough all she could talk about was her daughter's restaurant! Go to work there and we'll come back!

Food is only average pub like dishes but it does have a nice bar and atmosphere. Personally, I don't feel like dodging bullets while trying to be served. The nasty looks and under the breath comments were way beyond.....even for someone with such an obvious lack of intelligence.and class.

Go to Alfredo's on Franklin Street right around the corner! Good food, good service, good prices! Monday and Tuesday (dining room only) they issue a gift card for a future purchase equal half of your food order...can't beat that. And the staff smiles!",1
"My husband and I wandered into Finian's one Sunday morning, looking forward to their brunch buffet. We walked in, and all you could smell was fish. So, we walked right out. Who wants to smell fish when you're eating waffles and bacon? There are actual seafood restaurants in Quincy [Tony's] that don't smell like fish. 

Maybe this is an unfair review because I didn't actually eat anything at Finian's... ambiance counts for something!",1
"Blah
The only reason I keep coming here is because I work in this building. I've been to good Au Bon Pains. I've been to great Au Bon Pains.. but this one is really just a pain.
This is supposed to be a quick Deli type of place. Orders take forever. When they screw up your order, they get upset at you. They forgot the blue cheese in my Cob Salad Wrap once, and they seemed upset I pointed this out to them. 
The bread for the wrap is usually dry and splits open half way through. There are so many great places in Boston, skip this one if you can. (and go to Falafel King... I really can't work that place into enough reviews).",2
"The setting is perfectly adequate, and the food comes close.   The dining chains like Chilis and Victoria Station do barbecue better.

It's no surprise you can always pick up coupons for Linwood at restaurant.com.",2
"AFter reading several good reviews, I went here and was very disapointed. They advertise it as a BBQ place, but there was not a large BBQ menu. The food was decent, but certainly not noteworthy. Maybe since I come from the South I have a higher standard of BBQ.",2
"Friendly service and great food, however the atmosphere was a little slow.",2
"Decent service, nice enough atmosphere, but TERRIBLE food.  My fiancees pulled chicken sandwich was barely edible.  The pulled pork sandwich was a little better.  Baked beans were awful.  I love BBQ in general and I wouldn't characterize myself as picky but this was one of the worst meals I've had since I moved to Boston several years ago.  Too bad because the place is close to my apartment and has an interesting beer list.  But if your'e planning to eat, AVOID.",1
"Used to love this place, it makes me sad to review these poor reviews - when the old Heretix boys started this, it was phenomenal & it slipped a great deal when changing management.

*************************07/29/07 UPDATE*********************
Linwood is no more, we found it closed & had to go to sorrento's to get a marginal meal for $100.  It's going to be a new shi shi place called ""Church"" apparently.  Someone please help me find something as good as these guys once were!",1
"I would put zero stars if possible. I went there years ago to watch the RSox game. The place was busy but the bartender was not doing anything since everyone but me had drinks. I was waving money at the bartender and he was looking directly at me but didn't move a muscle - just gave me an aggressive look. My friend (she is caucasian) came over to ask what the hold up was. I said to her that this guys won't serve me or I have no idea what is going on. So gave her the money. The bartender walked right to her and told her that he'd be happy to serve her but not me. She told him that I was dead sober. He said that didn't matter - he just didn't like ""my kind"".

I understand that Boston has a racist label because of the bus riots and general larger concentration of Caucasian people. However, I was born in Boston and have had very few experiences like that. Most people that I have met in the area are enlightened and appreciate diversity. I have also sat at a bar where someone next to me started talking to me about South Asian literature etc. Tell me your experiences or views on this matter.",1
"Just a note: A hot pepper ClipArt next to an entree generally denotes that a dish is going to be spicy.  So, when bf and I ordered one ""Hot"" item and one non-hot item, we weren't expecting Bland and Blander.  We were both hungry, so the Bland plate got eaten, as it was the lesser of two evils.

This place was vacant, so it was a nice quiet spot, but now I know why: bad food.  Also, they don't have free refills on Cokes. :(

Shoulda gone to the Thai place next door.",1
"They are CLOSED. Probably because they (allegedly) served minors and the exterior looks like  a dump. 

Signs indicate that it is to become ""Symphony 8"" - Fine Food and Fine Drinks

I'll update when the re-open",1
Food was good then my friend saw a flying roach on the table and asked the waitress to get rid of it. one roach means there are many more unseen. On the other hand they dont card underage drinkers. Its a good thing I'm over 21 and dont have to resort to tiger lilys for drinks.,1
"I only ever come here for the drinks. The food is a total waste of money. It's not just overpriced, it's just throwing your money down the drain cuz sometimes, the food is just so bad that it's practically inedible. I'm always around for the scorpion bowls though, which like everyone says, is great, but besides that, there's really no other reason to come here.",2
"I went here just the other night before seeing a play. I was overall very displeased with the service and the food. My friend and I sat down and ordered our food and I ordered a mango chicken dish and she ordered a noodle dish. 

After our order was placed, the waiter disappeared. We waited about 15 minutes and then the waiter came back and informed us that the kitchen was out of ketchup so they couldn't make my mango dish. First of all, KETCHUP? In Asian food? That disgusted me & I was thankful to change my order. 

The only time we saw our waiter again was when he delivered our mediocre, overpriced food. No refills on our water or sodas. 

I was shocked by the lack of service and inauthentic ingredients. I would not recommend Tiger Lily and I will not go back.",1
"Call me a sourpuss but I just don't get why people like this place. The inside is tacky, noisy with the college flock, and utterly charmless. The food is mediocre, simplistic, and inconsistently prepared. If this is the only time you're going to have Malaysian food, do yourself a favor and go elsewhere. Service is spotty but spunky and courteous. The Scorpion bowls are saccharin sweet and weak.

There are so many better places that offer much better food and are good with groups - but none of them are open as late. I suppose that's how they manage to stay in business.",2
"Food is blah.  
Scorpion bowl is blah. 
Service is blah. 
They dont refill your drink. Yep. Thats just cheap.  
Drunken college students everywhere.  Unless its a Symphony night, then its overdressed white ladies from the suburbs holding on to their purses for dear life, while pretending to eat authentic ethnic food. 
Waiters always smell like sigs.  I hate that. 
Avoid this place.",1
"I don't get the fascination of this place.  Even if you go just for a scorpion bowl, I've still had better at the Cactus Club, or even Fire and Ice.  Try it if you wish, don't go back again if you don't like it.  Service is terribly slow.",2
"Tiger Lily is VERY mediocre. The only fun thing about this place is the previously mentioned scorpion bowl. Even those are only fun because they're a big bucket of alcohol. We got ""Orange"" and it was basically orange and mango juice with Everclear grain alcohol in it. Thats why previous reviewers got ""blackout drunk"" (which i guess is fun for them??). The food does not do much for soaking up those booze. The fried rice was terrible and the chicken tasted like MSG. The waitress was also super awkward and made the experience altogether no fun. I would say a definite no.",1
"Oh, Tiger Lily. Sadly, I have to give 2 stars, because the quality of the food here has plummetted in the past couple of years. Smaller portions, too. 

My friends and I used to go here after a long day for a delicious bowl of kari mee- dark, lovely broth with complex flavour and all the right porportions of ingredients, nice big clean shrimp, always fresh and always more food than we could eat. Now unfortunately it's another story. The last time I ordered kari mee it was just a small bowl, yellow turmeric type curry broth without much flavour, un-appetizing looking shrimps, kind of soggy. I still ate it because I was hungry and it wasn't inedible, but it was nowhere near as good as it used to be. The mee goreng seems to have suffered the same fate.

I wish they would cut it out and go back to what they used to be! There is no place in the area that is open so late, and Malaysian food on top of that. Too bad they're no good any more.",2
"I've been a fan of WaaZuBee for years, but an experience last weekend has me revising my loyalty. An old friend was in town for the weekend, and we decided to meet here for brunch.

We were seated right away, the place wasn't full (it was noon on a Saturday), and shortly thereafter placed our orders: huevos rancheros and guacamole for both of us.

45 minutes later, we were still waiting for our food. We asked our server (whose attention was unusually hard to attract) what was up. She went and asked the cooks, and eventually the manager came over. He apologized, one of the chefs had apparently gone home sick, and offered us each a free drink: we both ordered a glass of white wine. Ultimately, our meals took more than an hour to reach our table.

On the surface, the staff clearly did the right thing here. The thing is, it was too little too late. If a chef leaves and the food is gonna take a while, tell the affected customers preemptively. Offer them some bread. Don't wait for THEM to ask what's up, and then take another 10 minutes to offer them something to make up for it.

Then, just to further aggravate us, we were overcharged for our guacamole.

This has not turned me off WaaZuBee's for good: I'm still a fan of their  fries and garlic mayo, and wouldn't turn down an invite to eat here. But I'm pretty sure I won't suggest eating here again any time soon. There are too many good restaurants in this city, particularly on the Drive.",2
"Super unimpressed. Went back on Friday and had the Chicken Waazubwich which had been lovely in the past. Well, this time it was dry, the bread was totally not cut-able with a knife and fork, and there was hardly any sauce happening at all. 

The server rushed us, and wasn't particularly attentive. Bummer.",2
"Go for the atmosphere but not for the brunch!  It's better in the evenings and that is why i'm giving this 2 stars instead of just one.

Here's my story and I'm sticking to it!

On my plate: eggs over easy, brown toast, baked beans in tomatoe sauce(i don't understand this...who eats this for breakfast) and  hashbrowns.

The food review: One egg overdone, the other runny. Slightly greasy. sausage is not your typical pork sausage. However that being said, overdone as well. On the slightly spicy side but tolerable to the non-spicy folk. The beans were just silly. I would rather have fruit. The hashrowns were terribly greasy and overcooked.

Service: waitress had the personality of a tick.  It was almost next impossible to get our waitress to come to our table whether it was for service or to get the bill. We finally went up to the till and tried to pay where we still had to wait and felt as if we were inconveniencing her. OH, it was awful. 

It wouldn't have been such a  bad experience if it wasn't for the service. I think that blonde haired woman was having a bad day. I will say this, it was not the fabulous Marcie.

yeah. i've eaten here before and for the money, go elsewhere. you can do so much better on so many levels.",2
"really bad service for weekday lunch. Use to be a regular but since the manager and most of the staff left I'd give it a miss. Drinks are the strong point; good wines, gins, rums, and alot of beer options. Food portions are really small and over priced.",1
"I used to love Waazubee.  For the first year or so I lived here, it was great.  Over the past year, though, the food has gone from really good to poor.  Why did they get rid of the yummy garlic mayo that came with the fries?  What happened to that tasty dressing on the salad?  It is like eating grass now.  And they used to have real specials, like blue plate deals that had three courses for like $10 or $15 and they were good!  Now you can't get a decent salad here anymore. It seems like they are trying to change from a restaurant with edible food to a mere bar.  All of the old waitresses (with one exception) are gone.  And the paintings!  Please take those crappy muddy depressing ugly paintings down if you want anyone to have an appetite.  But, I guess they really don't want anyone to eat the food.  

It used to be my old reliable.  Now I avoid it like the plague.",1
"If this were based strictly on taste, Wing It might rate as high as four stars.  I mean, if one puts away the guilt of calorie-counting for a night, what's better than boneless wings dripping in sauce and slathered in blue cheese?  With 21 varieties -- the Rune's a fan of the Honey BBQ and the Teridactil [sic] -- Wing It does that pretty well.

That's the end of the appeal, I'm afraid.  Since replacing Avellino's some moon ago, Wing It has been the home of the world's least competent employees.  Trying not to be overly pejorative to the less fortunate, I still can't help but wonder if they don't hand out applications exclusively at half-way homes and special-education centers.

Here's a recurring (that's right, it's happened more than once) example:

A man (let's call him Derek) arrives with a $2 off coupon.  The cashier insists on disregarding said discount, initially, and ringing up the order at its full price and, seemingly, completing the transaction.  Thereafter (the change has been made and the register closed), cashier finally accepts the coupon, re-opens the register and hands Derek his two dollars.  Sometimes the end doesn't fully justify the means.

The delivery personnel is a creepy bunch.  I can't help but feel that they're casing my digs from the moment I open the door until our awkward dialogue finally ends and the door is shut.  I may start meeting them on the neighbor's lawn.  I won't even begin to rant about their proclivity for parking in the crosswalk outside the Wing It doors.

Unfortunately, they're Malden's best option for delivery wings.  Once the tormenting tribulations of acquiring them has ended, you're left with a decidedly delicious, waist-busting feast.",2
"I've ordered from Wing It numerous times because it's right down the street and I'm pretty sure I've never gotten exactly what I ordered. It's not hard to make an ok cheeseburger, but they sure mess it up. The wings are fine, but their burgers are always like little charcoal bricks that are still pink inside. It also takes at least 20 minutes to get the food and it's usually closer to 30-35. I do like the french fries though when they're not super crispy and the people are nice, even if they are incompetent.",2
"A wing place with no wings. Hmm.. who would have thought, but then again it IS Malden. (Malden is my hometown so I'm rightfully bashing it)

They had no wings! We were forced to order boneless which I personally hate. I guess it wasn't too bad since the filets were pretty juicy and well seasoned but STILL!! I agree with everyone else, EXPENSIVE. I can't believe that jerk forced me to pay extra for boneless when it wasn't exactly my fault they didn't have real wings.

Now that i'm on a rampage, their restaurant is quite DIRTY, sticky tables, and absolutely no decor or lighting. BOOOOO.",1
"Wing-It- we used to be very good friends. Weekday nights with your lg pizza, 10pc boneless xspicy jamaican or suicide buffalo wings, and 2 fries.
But then you changed.
You wouldn't deliver to Granada Highlands anymore
Your wings seemed WAY overly seasoned and dry.
but the straw that broke the camel's back was when you stopped making pizza! 
One of the holiest of holy trinities is pizza, wings and fries, and you had to go and Fu*k it all up.

Maybe I'll come back to you Wing-It, but you have to make some serious personal changes if we're ever going to have a relationship again.",2
"I was very much looking forward to a nice little, cozy pub/restaurant opening up in this spot. I finally went to get some dinner after a movie one night with a couple of friends. 

Ambience: The bar side is small, lively, pleasant. The restaurant side was kind of quiet, the music was muted so it felt a little too quiet, and there were only a few tables taken when we got there. The tables are laminate instead of wood which makes it feel a little like a cafeteria or a McDonald's instead of a pub. There's also a funny lounge in between the bar and restaurant sides. Kind of looks like a hotel lobby. 

The food was only mediocre. I got the fish n' chips and shared them with my boyfriend. The fries were thick and kind of soggy. The fish was fine, but lacking in flavor. The slaw, which I usually like, had all kinds of strange ingredients in it, like potato. It confused me so I stayed away, feeling unsure of what I was eating. My friend got a tuna melt which looked fine, nothing special. 

The beer selection is very good and the service was good. I would go back for a beer at the bar, and maybe a snack, but not for a sit down dinner in the restaurant.",2
Waited 20 minutes for an anemic hot dog and some garbage fruit. I won't make the mistake of coming here hungry ever again.,1
Seoul Food is closed. It has been replaced by Hunan Riverplace.,1
